date_time,index,AQI,co,no,no2,o3,so2,nh3,pm2_5,pm10
1666546775,1,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546777,2,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546779,3,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546781,4,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546782,5,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546785,6,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546787,7,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546788,8,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546790,9,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546792,10,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546794,11,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546796,12,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546798,13,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546800,14,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546802,15,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546803,16,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546805,17,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546807,18,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546809,19,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546810,20,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546812,21,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546814,22,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546817,23,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546819,24,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546820,25,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546822,26,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546824,27,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546826,28,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546827,29,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546829,30,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546831,31,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546833,32,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546835,33,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546836,34,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546838,35,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546840,36,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546842,37,5,15594.48,66.16,372.89,0,51.98,68.9,865.28,962.33
1666546843,38,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
1666546845,39,5,8972.17,20.79,293.37,0.01,37.19,82.08,496.04,608.6
