year,month,day,hour,longitude,latitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,dewpt
2021,1,1,0,74.3142,31.5657,5,7583.62,114.44,64.43,0.0,11.92,603.18,724.76,24.83,5.6,4.3
2021,1,1,1,74.3142,31.5657,5,8224.49,132.32,58.95,0.0,12.04,677.44,791.54,26.6,5.4,4.5
2021,1,1,2,74.3142,31.5657,5,9719.85,173.45,56.21,0.0,15.14,807.89,927.53,30.15,4.4,4.4
2021,1,1,3,74.3142,31.5657,5,11962.89,243.19,59.63,0.06,18.36,963.48,1092.38,30.4,5.3,4.8
2021,1,1,4,74.3142,31.5657,5,11749.27,227.09,82.25,1.34,19.55,917.97,1017.05,28.37,5.7,4.6
2021,1,1,5,74.3142,31.5657,5,12817.38,225.31,126.12,6.17,21.94,1010.35,1103.83,35.97,10.5,5.2
2021,1,1,6,74.3142,31.5657,5,13351.44,150.2,227.57,27.54,23.6,1124.45,1214.19,43.06,12.3,5.9
2021,1,1,7,74.3142,31.5657,5,4058.84,13.75,102.82,138.76,72.48,380.56,410.11,15.71,13.6,6.2
2021,1,1,8,74.3142,31.5657,5,3284.45,7.6,82.94,188.83,90.6,344.62,369.75,12.16,15.6,5.2
2021,1,1,9,74.3142,31.5657,5,3124.24,4.3,71.97,237.47,84.88,368.18,392.64,10.89,15.9,5.1
2021,1,1,10,74.3142,31.5657,5,4539.49,7.6,117.9,153.07,55.31,462.74,504.88,25.84,15.5,6.3
2021,1,1,11,74.3142,31.5657,5,6675.72,22.35,178.22,37.55,36.72,594.97,662.25,45.6,15.4,7.0
2021,1,1,12,74.3142,31.5657,5,8331.3,70.63,180.96,2.17,37.19,690.99,777.83,69.92,13.7,7.6
2021,1,1,13,74.3142,31.5657,5,8544.92,95.67,159.03,0.01,43.39,735.23,833.25,106.39,12.3,7.7
2021,1,1,14,74.3142,31.5657,5,8438.11,101.92,127.49,0.0,39.58,791.17,897.59,115.51,9.1,7.1
2021,1,1,15,74.3142,31.5657,5,8544.92,106.39,104.19,0.0,30.99,853.19,962.43,78.02,8.3,7.0
2021,1,1,16,74.3142,31.5657,5,8010.86,90.3,95.96,0.0,20.74,833.74,934.59,38.0,8.4,6.8
2021,1,1,17,74.3142,31.5657,5,7583.62,76.89,93.22,0.0,17.17,801.76,897.01,29.89,7.3,6.3
2021,1,1,18,74.3142,31.5657,5,7370.0,71.53,90.48,0.0,15.14,782.52,873.09,27.36,7.2,6.2
2021,1,1,19,74.3142,31.5657,5,6622.31,59.9,85.68,0.0,10.61,720.05,795.7,18.49,7.3,6.1
2021,1,1,20,74.3142,31.5657,5,5233.76,32.19,77.46,0.04,6.2,643.35,701.27,10.89,6.3,5.8
2021,1,1,21,74.3142,31.5657,5,4219.06,9.05,69.23,1.45,4.53,599.21,643.59,8.23,5.7,5.4
2021,1,1,22,74.3142,31.5657,5,3738.4,0.95,58.26,9.84,4.29,594.54,622.57,7.03,5.5,5.5
2021,1,1,23,74.3142,31.5657,5,3631.59,0.1,46.61,20.39,4.35,600.5,622.22,6.21,5.3,5.3
2021,1,2,0,74.3142,31.5657,5,3578.19,0.03,40.1,27.54,4.71,593.79,610.6,5.83,5.3,5.3
2021,1,2,1,74.3142,31.5657,5,3337.86,0.01,36.33,35.41,5.6,553.43,566.74,6.27,5.5,5.4
2021,1,2,2,74.3142,31.5657,5,3524.78,0.2,50.04,24.32,7.75,533.58,548.75,9.25,5.5,5.5
2021,1,2,3,74.3142,31.5657,5,3791.81,2.35,70.6,8.85,10.49,518.25,535.75,12.67,5.4,5.4
2021,1,2,4,74.3142,31.5657,5,3471.37,0.95,71.29,14.84,13.71,448.26,466.24,13.68,5.0,5.0
2021,1,2,5,74.3142,31.5657,5,3311.16,2.43,65.12,8.49,13.47,394.99,420.18,13.93,7.3,6.4
2021,1,2,6,74.3142,31.5657,5,2830.51,2.01,51.41,14.84,12.99,330.24,357.99,12.29,10.8,7.6
2021,1,2,7,74.3142,31.5657,5,1695.63,0.66,29.13,62.94,25.51,258.24,276.91,2.38,11.8,7.4
2021,1,2,8,74.3142,31.5657,5,1535.42,0.61,25.02,68.67,27.42,269.3,288.67,2.31,13.5,7.4
2021,1,2,9,74.3142,31.5657,5,1482.01,0.56,22.28,69.38,26.23,276.31,295.22,3.71,14.0,7.3
2021,1,2,10,74.3142,31.5657,5,1735.69,1.34,31.53,50.78,20.5,287.77,310.64,9.12,13.6,8.5
2021,1,2,11,74.3142,31.5657,5,2136.23,3.86,45.93,23.25,15.74,308.91,337.13,16.09,13.7,8.4
2021,1,2,12,74.3142,31.5657,5,2456.67,10.73,54.15,3.76,13.47,312.31,344.02,19.76,13.1,9.2
2021,1,2,13,74.3142,31.5657,5,2483.37,18.55,47.3,0.19,12.16,301.51,334.16,19.0,13.2,9.8
2021,1,2,14,74.3142,31.5657,5,2536.77,21.68,42.5,0.08,11.8,301.57,337.49,17.48,11.9,10.0
2021,1,2,15,74.3142,31.5657,5,2643.59,21.23,40.44,0.08,11.68,309.62,349.72,15.07,11.4,9.6
2021,1,2,16,74.3142,31.5657,5,2563.48,14.98,40.44,0.38,10.49,305.91,345.08,11.91,11.9,10.0
2021,1,2,17,74.3142,31.5657,5,2243.04,5.2,40.78,3.49,9.06,277.72,311.31,9.25,11.3,9.8
2021,1,2,18,74.3142,31.5657,5,1735.69,0.45,32.22,19.85,7.15,225.28,249.09,6.27,11.0,9.8
2021,1,2,19,74.3142,31.5657,5,1161.58,0.0,18.17,45.78,5.66,167.86,180.13,3.58,11.2,10.0
2021,1,2,20,74.3142,31.5657,5,974.66,0.0,13.54,52.93,5.07,146.07,153.8,3.14,10.7,10.0
2021,1,2,21,74.3142,31.5657,5,907.9,0.0,11.48,57.94,5.25,134.36,139.75,3.01,11.2,10.3
2021,1,2,22,74.3142,31.5657,5,847.82,0.0,10.03,64.37,5.6,123.35,127.27,2.95,10.6,9.9
2021,1,2,23,74.3142,31.5657,5,821.11,0.0,9.68,65.09,5.36,118.63,122.07,3.26,10.5,9.7
2021,1,3,0,74.3142,31.5657,5,821.11,0.0,10.28,60.8,5.36,119.66,122.93,3.67,10.9,9.9
2021,1,3,1,74.3142,31.5657,5,867.84,0.0,13.54,47.92,5.54,119.56,123.64,4.56,10.8,9.8
2021,1,3,2,74.3142,31.5657,5,1094.82,0.05,24.33,30.4,7.27,124.12,131.52,6.33,10.7,9.8
2021,1,3,3,74.3142,31.5657,5,1321.79,0.77,35.99,16.45,9.54,129.82,140.43,7.41,10.5,9.9
2021,1,3,4,74.3142,31.5657,5,1295.09,3.38,33.24,18.77,10.73,117.6,128.32,7.41,11.3,10.3
